timestamps,end,open,high,low,close,volume,amount
2026-04-15 08:00:00,2026-04-15 08:59:59,75900,75900,75900,75900,90,0
2026-04-15 09:00:00,2026-04-15 09:59:59,75900,76030,75663,75948,65210,0
2026-04-15 10:00:00,2026-04-15 10:59:59,75952,75998,75615,75709,131938,0
2026-04-15 11:00:00,2026-04-15 11:59:59,75707,76017,75573,75974,115236,0
2026-04-15 12:00:00,2026-04-15 12:59:59,75975,75996,75677,75768,96174,0
2026-04-15 13:00:00,2026-04-15 13:59:59,75768,76530,75756,76501,192538,0
2026-04-15 14:00:00,2026-04-15 14:59:59,76504,76968,76504,76673,211313,0
2026-04-15 15:00:00,2026-04-15 15:59:59,76678,76839,76550,76774,121966,0
2026-04-15 16:00:00,2026-04-15 16:59:59,76776,76910,76534,76553,87490,0
2026-04-15 17:00:00,2026-04-15 17:59:59,76555,76578,76390,76482,100673,0
2026-04-15 18:00:00,2026-04-15 18:59:59,76482,76745,76405,76600,44512,0
2026-04-15 19:00:00,2026-04-15 19:59:59,76599,76735,76525,76571,17257,0
2026-04-15 20:00:00,2026-04-15 20:59:59,76571,76590,76543,76566,4851,0
2026-04-15 21:00:00,2026-04-15 21:59:59,76566,76630,76549,76616,3778,0
2026-04-15 22:00:00,2026-04-15 22:59:59,76621,76625,76536,76593,3543,0
2026-04-15 23:00:00,2026-04-15 23:59:41,76590,76615,76570,76581,3772,0
2026-04-16 08:00:00,2026-04-16 08:59:59,76551,76551,76551,76551,47,0
2026-04-16 09:00:00,2026-04-16 09:59:59,76569,76950,76503,76603,61210,0
2026-04-16 10:00:00,2026-04-16 10:59:59,76604,77574,76185,77311,357117,0
2026-04-16 11:00:00,2026-04-16 11:59:59,77307,77772,77170,77557,216750,0
2026-04-16 12:00:00,2026-04-16 12:59:59,77557,77748,77282,77404,134601,0
2026-04-16 13:00:00,2026-04-16 13:59:59,77394,77456,77074,77242,87745,0
2026-04-16 14:00:00,2026-04-16 14:59:59,77242,77363,77087,77232,67511,0
2026-04-16 15:00:00,2026-04-16 15:59:59,77234,77548,77165,77458,79973,0
2026-04-16 16:00:00,2026-04-16 16:59:59,77454,77536,77171,77276,69230,0
2026-04-16 17:00:00,2026-04-16 17:59:59,77278,77342,77035,77192,67416,0
2026-04-16 18:00:00,2026-04-16 18:59:59,77193,77220,76834,76931,66011,0
2026-04-16 19:00:00,2026-04-16 19:59:59,76935,77033,76869,76954,16603,0
2026-04-16 20:00:00,2026-04-16 20:59:59,76953,76981,76867,76908,8482,0
2026-04-16 21:00:00,2026-04-16 21:59:59,76908,76908,76713,76776,20408,0
2026-04-16 22:00:00,2026-04-16 22:59:59,76777,77099,76768,76950,18950,0
2026-04-16 23:00:00,2026-04-16 23:59:41,76950,77064,76950,77035,8549,0
2026-04-17 08:00:00,2026-04-17 08:59:59,77050,77050,77050,77050,30,0
2026-04-17 09:00:00,2026-04-17 09:59:59,77050,77271,76921,77050,53395,0
2026-04-17 10:00:00,2026-04-17 10:59:59,77055,77226,76846,77087,101466,0
2026-04-17 11:00:00,2026-04-17 11:59:59,77081,77449,77059,77156,107682,0
2026-04-17 12:00:00,2026-04-17 12:59:59,77155,77207,76820,77084,147293,0
2026-04-17 13:00:00,2026-04-17 13:59:59,77083,77160,76978,77019,51490,0
2026-04-17 14:00:00,2026-04-17 14:59:59,77015,77092,76950,77003,43621,0
2026-04-17 15:00:00,2026-04-17 15:59:59,77008,77050,76563,76774,117144,0
2026-04-17 16:00:00,2026-04-17 16:59:59,76772,76837,76634,76670,81140,0
2026-04-17 17:00:00,2026-04-17 17:59:59,76670,76938,76500,76667,134136,0
2026-04-17 18:00:00,2026-04-17 18:59:59,76667,76770,76647,76718,129795,0
2026-04-17 19:00:00,2026-04-17 19:59:59,76716,76770,76650,76700,8699,0
2026-04-17 20:00:00,2026-04-17 20:59:59,76699,76732,76658,76719,5217,0
2026-04-17 21:00:00,2026-04-17 21:59:59,76718,76823,76718,76800,8149,0
2026-04-17 22:00:00,2026-04-17 22:59:59,76804,76864,76752,76799,5786,0
2026-04-17 23:00:00,2026-04-17 23:59:42,76804,76859,76754,76852,6483,0
2026-04-20 08:00:00,2026-04-20 08:59:59,76700,76700,76700,76700,82,0
2026-04-20 09:00:00,2026-04-20 09:59:59,76691,76770,76304,76390,61906,0
2026-04-20 10:00:00,2026-04-20 10:59:59,76391,76684,76307,76393,114222,0
2026-04-20 11:00:00,2026-04-20 11:59:59,76387,76398,76106,76175,163690,0
2026-04-20 12:00:00,2026-04-20 12:59:59,76173,76282,76000,76133,109230,0
2026-04-20 13:00:00,2026-04-20 13:59:59,76134,76361,76102,76238,191620,0
2026-04-20 14:00:00,2026-04-20 14:59:59,76240,76417,76221,76359,67963,0
2026-04-20 15:00:00,2026-04-20 15:59:59,76360,76418,76263,76282,74305,0
2026-04-20 16:00:00,2026-04-20 16:59:59,76280,76283,76141,76165,80035,0
2026-04-20 17:00:00,2026-04-20 17:59:59,76165,76298,76130,76263,150144,0
2026-04-20 18:00:00,2026-04-20 18:59:59,76265,76355,76150,76200,70268,0
2026-04-20 19:00:00,2026-04-20 19:59:59,76199,76238,76121,76136,10521,0
2026-04-20 20:00:00,2026-04-20 20:59:59,76136,76136,75878,75913,37889,0
2026-04-20 21:00:00,2026-04-20 21:59:59,75916,75989,75891,75963,8601,0
2026-04-20 22:00:00,2026-04-20 22:59:59,75963,75994,75952,75987,4126,0
2026-04-20 23:00:00,2026-04-20 23:59:41,75986,75996,75950,75987,5441,0
2026-04-21 08:00:00,2026-04-21 08:59:59,75994,75994,75994,75994,36,0
2026-04-21 09:00:00,2026-04-21 09:59:59,75994,76049,75769,75786,45410,0
2026-04-21 10:00:00,2026-04-21 10:59:59,75789,75888,75485,75515,189003,0
2026-04-21 11:00:00,2026-04-21 11:59:59,75516,75585,75293,75365,196179,0
2026-04-21 12:00:00,2026-04-21 12:59:59,75370,75520,75269,75374,193283,0
2026-04-21 13:00:00,2026-04-21 13:59:59,75376,76089,75370,75570,312921,0
2026-04-21 14:00:00,2026-04-21 14:59:59,75569,75800,75432,75628,169934,0
2026-04-21 15:00:00,2026-04-21 15:59:59,75630,75860,75536,75784,64635,0
2026-04-21 16:00:00,2026-04-21 16:59:59,75784,75816,75520,75597,58757,0
2026-04-21 17:00:00,2026-04-21 17:59:59,75595,75596,75211,75389,101211,0
2026-04-21 18:00:00,2026-04-21 18:59:59,75387,75588,75262,75446,50826,0
2026-04-21 19:00:00,2026-04-21 19:59:59,75444,75504,75385,75421,13590,0
2026-04-21 20:00:00,2026-04-21 20:59:59,75422,75455,75331,75412,12350,0
2026-04-21 21:00:00,2026-04-21 21:59:59,75412,75667,75400,75556,18561,0
2026-04-21 22:00:00,2026-04-21 22:59:59,75545,75590,75441,75480,8277,0
2026-04-21 23:00:00,2026-04-21 23:59:41,75480,75565,75441,75489,8555,0
2026-04-22 08:00:00,2026-04-22 08:59:59,75489,75489,75489,75489,5,0
2026-04-22 09:00:00,2026-04-22 09:59:59,75488,75650,75350,75597,37606,0
2026-04-22 10:00:00,2026-04-22 10:59:59,75598,76230,75553,75882,225317,0
2026-04-22 11:00:00,2026-04-22 11:59:59,75881,75986,75660,75817,116439,0
2026-04-22 12:00:00,2026-04-22 12:59:59,75814,75889,75650,75739,137084,0
2026-04-22 13:00:00,2026-04-22 13:59:59,75739,75923,75711,75891,95522,0
2026-04-22 14:00:00,2026-04-22 14:59:59,75893,76039,75787,75976,262266,0
2026-04-22 15:00:00,2026-04-22 15:59:59,75977,76134,75845,75925,243807,0
2026-04-22 16:00:00,2026-04-22 16:59:59,75921,76000,75682,75728,172029,0
2026-04-22 17:00:00,2026-04-22 17:59:59,75717,75863,75668,75789,47190,0
2026-04-22 18:00:00,2026-04-22 18:59:59,75789,75938,75718,75719,36751,0
2026-04-22 19:00:00,2026-04-22 19:59:59,75725,75890,75720,75886,10664,0
2026-04-22 20:00:00,2026-04-22 20:59:59,75888,75915,75812,75881,6253,0
2026-04-22 21:00:00,2026-04-22 21:59:59,75879,75935,75860,75901,4107,0
2026-04-22 22:00:00,2026-04-22 22:59:59,75900,75940,75880,75933,3995,0
2026-04-22 23:00:00,2026-04-22 23:59:59,75932,75938,75880,75880,3245,0
2026-04-23 08:00:00,2026-04-23 08:59:59,75860,75878,75860,75866,32,0
2026-04-23 09:00:00,2026-04-23 09:59:59,75860,75878,75538,75634,53505,0
2026-04-23 10:00:00,2026-04-23 10:59:59,75633,75841,75510,75665,183888,0
2026-04-23 11:00:00,2026-04-23 11:59:59,75665,75747,75511,75598,187940,0
2026-04-23 12:00:00,2026-04-23 12:59:59,75597,75900,75525,75790,196291,0
2026-04-23 13:00:00,2026-04-23 13:59:59,75790,75936,75709,75857,147029,0
2026-04-23 14:00:00,2026-04-23 14:59:59,75858,75993,75685,75939,167289,0
2026-04-23 15:00:00,2026-04-23 15:59:59,75941,76951,75829,76844,364338,0
2026-04-23 16:00:00,2026-04-23 16:59:59,76840,76970,76555,76580,216698,0
2026-04-23 17:00:00,2026-04-23 17:59:59,76580,76813,76558,76598,103581,0
2026-04-23 18:00:00,2026-04-23 18:59:59,76597,76702,76555,76680,38897,0
2026-04-23 19:00:00,2026-04-23 19:59:59,76681,76763,76610,76732,20211,0
2026-04-23 20:00:00,2026-04-23 20:59:59,76731,76756,76638,76712,24211,0
2026-04-23 21:00:00,2026-04-23 21:59:59,76713,76805,76713,76783,9173,0
2026-04-23 22:00:00,2026-04-23 22:59:59,76782,76848,76777,76825,9474,0
2026-04-23 23:00:00,2026-04-23 23:59:42,76822,76848,76810,76811,6895,0
2026-04-24 08:00:00,2026-04-24 08:59:59,76850,76850,76850,76850,210,0
2026-04-24 09:00:00,2026-04-24 09:59:59,76850,77174,76777,77020,90304,0
2026-04-24 10:00:00,2026-04-24 10:59:59,77026,77050,76406,76495,239350,0
2026-04-24 11:00:00,2026-04-24 11:59:59,76491,76535,76316,76335,106392,0
